config,seed,gamma,balanced,global_context,best_epoch,duration_min,val_map,val_dice,val_boundary_dice
CE,42,0,False,False,6,1.6619409533333358,0.35260120037812503,0.81602698341012,6.773133440392265e-11
CE,123,0,False,False,6,1.7214561400000017,0.29901472065409623,0.7246949628740549,0.08277210608949921
Focal gamma=1,42,1,False,False,6,1.6203075616666638,0.3747367494025374,0.8326939046382904,0.007785438599180186
Focal gamma=1,123,1,False,False,6,1.4969754899999999,0.31493739209071564,0.771430849134922,0.26574195314198734
Focal gamma=2,42,2,False,False,6,1.4903496716666647,0.3859687972687872,0.8275531625747681,0.2160386977883828
Focal gamma=2,123,2,False,False,6,1.5822512700000062,0.3285267205510767,0.75601392775774,0.2880961684772301
Focal gamma=5,42,5,False,False,3,1.3503123349999973,0.31265758514675895,0.8358088886737823,0.21313813833648687
Focal gamma=5,123,5,False,False,5,1.5135262966666687,0.3212884231010621,0.8346661269664765,0.37581527586095037
CE balanceada,42,0,True,False,5,1.7050493316666688,0.40352334590664896,0.8554183585941791,0.49471464261412623
CE balanceada,123,0,True,False,6,1.7104193966666648,0.38930708698380667,0.8503322649002075,0.489569306075573
Focal balanceada gamma=1,42,1,True,False,6,1.6535854333333342,0.42847159330727613,0.8632688902318477,0.5124789582192898
Focal balanceada gamma=1,123,1,True,False,6,1.5886319133333322,0.3981717743709455,0.8549199351668357,0.496373355537653
Focal balanceada gamma=2,42,2,True,False,6,1.7419741483333382,0.41119606218806465,0.8375037088990211,0.4950310836732388
Focal balanceada gamma=2,123,2,True,False,6,1.6220271666666652,0.3406024693978116,0.8291917836666107,0.42744646944105624
Focal balanceada gamma=5,42,5,True,False,6,2.058276384999999,0.2965696456577117,0.786939031612128,0.4843884098529816
Focal balanceada gamma=5,123,5,True,False,5,2.592164866666667,0.3266944301236553,0.8420700517296791,0.46636832773685455
